Time Post infection,Vero,,,,,Donor 1 Keratinocytes,,,,,Donor 2 Keratinocytes,,,,,Donor 3 Keratinocytes,,,,,Donor 4 Keratinocytes,,,,,Donor 5 Keratinocytes,,,,,Donor 6 Keratinocytes,,,,,Donor 1 Fibroblast,,,Donor 2 Fibroblast,,,Donor 3 Fibroblast,,,Donor 4 Fibroblast,,,Donor 5 Fibroblast,,,Donor 6 Fibroblast,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-0.005062851,-0.281519349,-0.068936165,-0.041366674,-0.094886124,0.155603917,-0.130545356,-0.086581329,-0.450065205,-0.137739934,0.159458045,-0.141224513,-0.051142333,-0.063814549,-0.040508296,-0.042199696,-0.11455985,-0.018236473,-0.205372093,-0.129107667,0.001773176,-0.261972455,-0.092510822,-0.057190507,-0.081225774,0.01923065,-0.247167011,-0.051368498,-0.033362592,-0.033441202,0.062069389,-0.966002351,-0.472109719,-0.472109719,-0.077606527,-0.198361905,-0.16464947,-0.002543815,-0.054795461,0.179311824,-0.268527681,-0.103551895,-0.095196993,-0.270597911,-0.001668761,-0.34756261,-0.208063325,-0.061810952,-0.014805078,-0.177062808,-0.094004823,0.05036108,-0.564857081,
6,-0.0110419,-0.325567564,0.039289737,-0.031192705,-0.122951662,9.499742272,-0.078883948,0.039860861,-0.296001862,0.376036824,10.02137674,-0.122191675,0.027934861,0.056262128,0.136402058,4.729850172,0.162932037,0.002125343,-0.241403012,-0.022702909,2.4942702,-0.183770029,-0.093081804,-0.074104452,-0.045289858,1.626420837,-0.21077934,-0.039120068,-0.01346679,-0.008153325,7.927914002,-1.093012187,-0.436863155,-0.436863155,0.22205324,-0.254380707,-0.223170313,0.254290753,-0.096156298,0.122614032,-0.001423743,-0.148711369,-0.167028227,-0.367995395,0.792005011,-0.462159772,-0.247186831,-0.07049764,-0.093533374,-0.270116543,-0.223746003,-0.034165798,-0.782108511,
8,0.006887892,-0.213039677,1.421352197,0.610284463,0.046808777,32.99457327,3.607979315,4.737276233,7.062751646,12.41102466,37.84350939,3.181939322,3.174901886,2.344323174,4.403136607,26.61158903,2.850235502,1.636984954,1.176910762,4.202965116,17.99869674,3.032683971,1.353088858,1.218838858,2.103732838,14.5669313,2.703713736,2.431097012,0.937472704,2.016805061,37.44938594,2.439581406,3.940561757,3.940561757,8.421047847,-0.182712353,0.00885018,4.333489185,0.179620051,0.557859287,6.100539678,-0.018479658,-0.043807713,1.192041418,7.073302679,1.816768706,2.011541945,0.025515284,-0.058542579,1.627068271,-0.060504293,-0.020466973,0.690752287,
10,0.40419087,0.91065068,5.824002015,3.599869138,1.856297506,58.54239771,19.346639,23.25322959,28.77228986,37.14275048,66.83105371,17.5468437,16.78368553,13.75156726,18.84270547,55.26650386,18.78376924,11.89291123,10.65585379,19.47752387,44.91602831,18.33730131,10.19970623,9.443512652,11.75621258,35.97100943,18.64796287,17.35747655,8.861257216,12.51840023,69.41240166,20.02180384,24.30514874,24.30514874,29.61865064,0.713717899,2.588040382,13.51300716,2.738219256,4.075433921,20.28991338,1.084780239,1.643759546,7.293241304,17.35711583,12.73948257,12.27570209,1.140699524,1.215048425,9.736479659,1.150913539,0.707423626,7.779432999,
12,2.39809291,4.29720429,14.25311112,10.95427357,6.419865292,78.5653621,44.01473362,48.60122553,54.30563834,63.58670272,87.05115297,41.15261542,39.80570948,34.08950967,40.47050141,79.24023755,43.05714171,32.09089117,29.21007057,41.62270698,70.9396872,40.59035729,25.62977807,24.18239462,28.3641053,57.00528034,44.3421558,42.4342601,24.36795933,29.91822989,89.70125658,47.09144457,53.36548066,53.36548066,52.92434469,4.034765852,9.070722427,24.79003517,9.258021017,11.84149581,35.09822512,4.212327783,6.649224046,16.29398755,28.08796595,27.14158857,26.21999491,5.115210753,6.285854573,21.76436568,5.305914443,3.638030643,18.89004756,
14,7.055155929,11.21076403,27.172297,22.77078868,15.83284012,91.12429187,68.79347845,72.87826059,75.85456701,82.05562964,96.55213532,63.76454089,61.81558339,55.68875584,62.2873305,92.5868756,66.43759268,55.34895643,50.84486529,62.93044836,88.42653781,61.56216094,43.95868003,42.39351209,47.70123904,76.09977258,67.53566254,65.07051936,42.25217506,49.55186908,98.22620563,73.2856644,78.7330511,78.7330511,71.78171615,9.359184805,17.78225516,35.79246437,18.71210133,22.19346124,48.89541977,9.08246604,13.81103398,26.26920618,40.01492727,39.90510249,39.01022534,11.76673097,14.36924535,33.90177945,12.26229638,8.923082531,29.70557822,
16,15.7706587,22.31889344,43.01490289,38.7584614,29.62719084,97.88409028,86.19604248,87.87260652,88.63297328,93.2201638,100,79.95153568,78.3522693,75.179705,80.35747116,99.17345628,82.8170662,73.78871453,69.73686071,80.26910228,97.59335058,76.95091252,64.73487235,63.23803096,67.97910621,89.6414473,83.11122146,81.86079691,60.62040285,68.67662977,100,89.9333633,93.49394435,93.49394435,84.95966214,16.70542611,27.25173225,45.97277299,30.7467757,35.24952801,61.68698833,15.19593908,22.00827628,36.6270363,51.55566362,51.42387861,50.54418806,19.97746534,23.54145671,45.11100405,22.28237469,15.78987492,40.00873406,
18,29.42176897,37.57388813,59.43873705,56.55842177,45.56230251,99.90196712,95.80731939,96.04718104,95.2556881,98.64643365,99.37315747,89.64948143,89.00741915,90.90201782,95.44721047,100,93.82025949,87.21161089,88.42872043,94.15557159,99.77014089,90.30182174,87.29875858,87.07870826,89.93293717,97.21773734,92.36126566,92.08646814,84.26130795,90.243044,97.89111325,97.40396415,98.53137753,98.53137753,95.80612595,25.744262,37.00945376,55.7181623,45.28479381,47.88874499,72.99863815,22.983231,31.12234741,46.90607032,62.32558229,61.37564628,60.77582582,31.24324216,33.85627757,55.83133886,34.84399762,25.12336835,49.48042411,
20,46.58684839,52.84158513,71.13270617,72.45315283,63.23438904,100,99.50138354,99.22796463,98.77204785,100,97.75871778,96.17176361,96.09881534,97.47641928,98.79822343,98.63625317,98.90502316,95.56796335,96.60086451,99.31639974,100,97.99219951,96.19807505,96.40330414,97.34357512,99.90012242,97.8591466,97.62514131,95.02636136,98.40935928,95.46584021,100,100,100,99.15489314,36.49647046,46.11088097,63.45408823,59.01710924,59.45810542,81.39791163,32.94419124,40.52809482,54.95188705,70.63857237,70.7615185,68.96900925,44.77507763,44.80840866,64.5692821,47.65995784,36.2732589,56.87306532,
22,63.10307973,66.76267476,82.45412931,84.0408234,76.08003758,99.18276036,100,100,100,98.84555122,94.27351425,99.6053491,99.15763449,99.56345832,100,96.53298148,100,99.93271261,99.71603628,100,97.16063693,100,99.43839834,99.41648761,99.92592692,100,100,100,99.76108459,100,91.57089663,97.45785968,96.98119618,96.98119618,100,47.37788534,55.05026938,72.3556357,71.18981165,69.00201352,89.97500957,43.96761412,50.09149356,64.84189147,77.41112313,76.91936019,75.97334109,57.33923059,54.90650179,73.80433553,58.43200668,46.74549611,65.16157422,
24,75.92590165,76.29121361,87.68909538,91.25300688,85.71980305,97.38314984,97.62449803,98.11437546,98.91898328,96.77652256,89.63338827,100,100,100,99.70370789,93.04754545,99.50292623,100,100,99.68349513,93.51716725,99.91188759,100,100,100,99.56979889,99.18871695,98.70606082,100,99.73661537,87.68812977,95.96551377,93.11174252,93.11174252,99.54185192,58.15122854,62.70497093,77.37666227,81.46660557,76.29236135,92.42789072,54.55206823,58.37288504,69.05901955,82.86246313,83.30837169,82.60407332,68.42346811,62.81392734,78.54229988,67.94787887,55.95073644,70.30642922,
26,84.21636915,83.27872018,92.1897932,96.18303095,92.47431798,95.16684783,94.20800663,95.01342234,96.70703832,95.4980499,85.40713353,98.87947647,99.03649745,98.17381968,97.92409724,89.21229285,96.48296371,97.29631837,99.07321429,97.43873096,89.60850836,97.78116921,98.96167929,99.32986288,99.44066502,97.53881027,97.97629488,97.8467173,99.71429086,99.4437924,83.03344011,91.16956233,90.61140011,90.61140011,97.24583478,66.68284423,69.12651826,82.20969575,89.1860014,82.29180744,95.46906413,64.05038923,65.7271495,74.89179959,87.25199403,88.27361072,87.7503778,77.20140817,68.8860616,83.54375451,76.06262308,64.02624419,75.06568068,
28,91.01075801,88.1169356,95.05121019,98.54406356,95.25075657,92.43871896,90.57267155,90.6007304,94.64429802,93.48937322,81.72939486,97.76823952,96.58964101,96.77605698,95.18174579,83.79313455,93.83958007,93.87692293,97.06453373,95.03386268,84.88272089,95.71708452,97.28523512,97.39260567,97.73881058,96.10284725,96.25859271,95.71224233,97.93924873,97.35050668,77.75663554,87.79844429,86.83222371,86.83222371,94.4621385,74.53458063,74.35085781,86.72045539,94.13139782,86.86311318,97.02074826,72.61766536,71.20779753,79.3124057,90.6068028,92.02879773,91.75762395,84.13434247,74.13278322,87.8567158,82.10210493,71.04028126,79.82508848,
30,95.13434987,92.78226904,97.85616798,100,98.58344537,88.96311179,85.88504123,86.61491342,91.74374009,90.14730248,77.13361686,94.39849204,93.59086207,94.644124,93.45400711,79.01754434,89.5885341,89.85519556,94.48543847,91.68298475,80.32213631,92.55531622,95.52013579,95.08067933,95.63984065,94.93173086,94.75500924,93.65428977,96.72096284,95.38399986,73.50366718,82.77173172,82.54405422,82.54405422,92.20182711,81.21076489,80.87153299,89.57530038,97.17420824,92.09877938,98.57070222,79.8995614,79.48536435,83.88798922,92.67420673,94.59797711,94.58448757,89.90368711,81.98134903,90.21925569,87.48153713,77.92946826,83.68607494,
32,96.27585501,94.80237053,97.85602659,99.91753485,99.0471435,84.57503304,80.48960653,82.37560915,88.84345863,86.64869035,72.49082278,90.49240015,89.94127451,91.7030847,90.01915721,75.20728693,85.82259003,85.66967751,90.86092838,88.07009423,75.9704903,89.74698999,93.6813186,93.22552387,93.65839929,93.94557829,93.55892955,91.9431904,94.21464613,93.51900894,69.44033215,79.7978667,79.01280746,79.01280746,89.44464398,86.36393826,85.16598287,92.65072391,98.98790004,94.80752161,99.51291324,85.62342722,84.17446084,87.2056549,94.76556681,97.39557838,96.93822513,93.58355949,86.53572761,92.788038,91.06348018,82.99381864,88.07346834,
34,98.99667612,96.48422286,100,99.7541012,99.53409024,79.96846722,75.57726574,77.60656007,85.04949274,83.47177957,67.85534071,87.36065807,87.06903997,88.25471432,87.10480921,69.90393451,81.42707094,80.75595698,86.87334545,84.61565453,71.85776273,87.76307838,91.81206602,91.35050667,91.16612766,92.58222285,91.55265076,90.12634804,92.13829695,91.00759749,66.22743154,75.57942023,75.92632851,75.92632851,86.24293039,90.12036726,88.41034427,94.05562305,99.31789363,96.55189529,100,90.63979104,88.24883216,90.45471313,96.09624043,98.11196435,98.36757396,95.92956867,89.59024134,95.10618779,93.64932822,86.92700445,90.26358861,
36,100,97.44438671,99.90590131,99.06706622,99.77710359,75.2553829,71.20485342,73.38254364,81.00522057,79.60876899,63.60761146,84.46984168,83.19470559,85.48935798,83.66525747,65.74753628,78.0730607,76.97249814,83.24061354,81.20433251,68.05318621,85.22305906,90.03248822,89.75527454,89.27036183,91.49773448,89.95384783,88.23201461,89.25549127,89.00726609,63.2212288,71.9749059,72.93605155,72.93605155,84.244853,93.62096657,90.96081073,95.883059,100,97.89700052,99.88580916,93.60904514,91.30107348,92.95982736,97.13465624,99.29749108,98.98101009,97.78821403,92.62612321,96.08378866,95.56706241,90.53295564,92.25052307,
38,99.8139526,98.74923129,98.73084591,97.35542796,100,70.85129878,66.14125932,68.7349359,77.25628217,75.55720518,60.55267713,81.87444401,80.81615578,81.66127207,81.26568573,61.66008763,73.94389829,72.70203448,79.56041615,78.06646381,65.02672572,83.57600199,88.36746369,87.85739667,87.55104999,90.64643833,89.49450988,87.30333275,86.92306897,87.08934519,61.00735771,69.03375977,70.67368298,70.67368298,81.54363078,94.94572637,94.71043483,97.64919131,99.78769731,100,99.96430398,96.19520073,95.631478,94.69821041,97.73211733,99.55016347,99.38794535,98.86702901,95.91088864,97.68721133,97.34096654,94.59698085,95.66188192,
40,99.55472952,99.68307653,98.24929313,96.75242961,98.78562328,66.68016177,61.55568679,64.02380832,72.02037703,71.84995547,56.98503683,79.18285128,78.03280064,78.87717113,78.70405198,58.52270768,70.66542808,69.5093423,75.78694602,75.29641795,62.14668235,81.71720575,86.75882365,86.52012136,86.05062705,89.81267977,88.62019189,86.13951396,85.52825931,85.47183882,59.29030634,67.56868357,68.6132336,68.6132336,79.14593976,97.04642014,97.05711054,98.71427058,99.31451314,99.75550772,99.81277802,97.99381874,96.39072658,96.17495074,98.89274109,98.9799675,100,99.51110727,96.65722173,98.94814757,98.12087457,95.69798103,97.35603077,
42,99.97415762,100,97.07811792,94.76046971,98.1018773,61.57766408,57.50779379,59.98916717,67.27214869,66.9306093,53.51437079,77.13261736,75.67152949,76.5254229,76.05672331,54.97724064,68.46922971,66.24556314,73.45270901,72.79638659,59.99820414,80.96445778,85.40580005,85.24125138,84.63362361,89.2665089,87.43028229,85.5951393,83.45382644,84.35895969,57.77475875,65.67348046,66.40439391,66.40439391,77.7831413,98.24274575,99.95402128,98.96342407,98.94023941,99.38789441,98.81338052,99.01555226,97.40297188,97.84931656,98.65775286,98.97028104,99.9099637,99.86621938,97.57404694,99.1230989,98.66868816,97.10193186,97.24076402,
44,98.25390741,94.94149528,96.21347823,92.55374121,95.05800903,56.37869265,53.16178205,55.42596548,63.40236523,63.58500979,50.7153712,74.87609264,74.28221375,73.78245005,73.65385269,52.51554335,66.30468604,64.42718379,70.96108286,70.77713049,58.59492682,79.97275008,84.45960118,84.40823815,83.4887944,88.76509744,86.99245626,85.06860372,82.05874939,83.45176939,56.72032151,63.95429635,65.40614123,65.40614123,75.9964656,99.16802285,98.06996317,100,98.12525083,99.17450052,99.43350781,99.57129942,98.40307127,99.46794397,99.09568227,100,99.92359828,100,98.73329807,100,99.54641609,99.1710238,100,
46,97.58102858,94.6015536,95.45149879,90.29979357,92.10111954,50.06414703,49.66921788,52.06465632,59.61298387,59.14583014,48.80286979,73.19527814,72.51096516,71.23750134,71.58450976,49.88319392,63.44912961,62.48913278,68.66814841,68.49387785,57.07678666,79.59577356,83.68872439,83.1729755,82.52842274,88.23974041,86.35385227,84.22257898,80.78284037,82.65832584,55.68015576,62.93539648,63.32117731,63.32117731,75.28883094,99.39562773,100,98.98462253,96.93331752,99.71351295,98.17977617,100,100,99.30679435,99.42364563,99.6423566,99.82809613,99.90279279,100,99.87803444,99.78928122,100,99.43685153,
48,96.30143098,92.10162407,93.43822673,86.16576024,88.61685481,45.08420079,46.32990538,48.90809641,55.96664455,55.38113063,46.80798929,72.00717859,70.97720484,69.18778224,70.32574227,47.08845314,61.55148601,60.11565893,66.81269771,66.92517496,55.6525888,78.32370818,82.46493646,82.2676439,81.85360036,85.97739041,86.04768255,83.54049625,80.13610647,81.35447703,54.83174262,61.97947808,61.74623767,61.74623767,74.00569229,100,98.95242746,98.63871526,96.24557701,97.76457383,97.22263111,99.71398197,97.02541498,100,100,99.90849385,99.81265962,99.76567268,96.67352461,99.93593457,100,98.24371387,99.29182676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
