g_sub_n1,g_sub_n2,g_ali_n1,g_ali_n2,r_sub_n1,r_sub_n2,r_ali_n1,r_ali_n2
3122.028686,10034.26,2238.624267,835.0715,887.6716,29235.74,3835.778,3940.427
9992.595215,9429.305,3995.983277,944.6612,3964.378,14227.17,3910.652,3910.553
8887.854004,8468.806,4587.875732,884.0064,4220.669,46654.09,5396.557,3163.739
8661.347168,8655.497,1321.453583,1094.568,5044.99,5577.977,1264.109,3396.597
8167.251953,9058.73,1445.407898,1165.417,4536.663,11614.42,1930.135,1445.743
8184.712647,8462.68,3778.39917,1995.674,4161.775,7139.146,2061.339,3052.03
9145.333496,7956.707,3707.610962,1073.005,4312.616,5519.792,2376.697,2296.986
7702.895752,7613.999,2909.835571,1216.844,4522.474,3776.069,1882.959,2373.848
8156.894775,6955.387,965.731292,1311.579,3693.938,2461.823,1789.032,6411.543
8444.546387,4976.045,3920.277465,1901.526,4860.515,2094.418,1785.375,5175.823
8324.667724,4058.025,4248.329346,2060.256,4224.51,1674.875,1480.085,5320.925
8073.422607,2435.341,6093.354004,1585.854,4188.669,2608.506,1512.133,6955.272
9356.898926,9021.46,690.252258,623.925,4387.381,3910.169,330.1413,8026.807
9380.058106,9105.772,6880.581055,3936.235,4220.356,4782.119,2206.029,8726.349
9231.823731,6096.469,275.707992,2936.845,4281.807,4266.777,5910.954,8263.521
7781.417481,6255.457,2677.758911,2693.205,4039.511,3586.786,10673.11,4395.954
