,,,Vendor Submerged,,,,,,,,Vendor ALI,,
ACV,0.3877,0.4053,0.4561,0.4678,0.5042,0.528,0.4438,0.433,0.04,0.04,0.04,0.04,0.04
AMN,0.261,0.255,0.284,,,,,,0.267,0.105,0.117,,
PRT,0.456,0.444,0.609,,,,,,0.246,0.276,0.097,,
FMP,1.156,1.926,1.362,,,,,,0.04,0.04,0.04,,
FLR,0.149,0.156,0.143,,,,,,0.267,0.246,0.162,,
GMC,0.18,0.222,0.161,,,,,,0.223,0.123,0.15,,
LNT,0.098,0.097,0.088,,,,,,0.098,0.07,0.088,,
LDC,0.799,0.522,0.726,,,,,,0.078,0.122,0.13,,
NCD,0.202,0.39,0.594,,,,,,0.101,0.095,0.129,,
SNX,0.04,0.03,0.09,,,,,,0.04,0.04,0.04,,
VRD,0.426,0.117,0.897,,,,,,0.097,0.124,0.276,,
VLX,5.043,4.96,10,,,,,,0.11,0.125,0.251,,
