,,,Vendor Submerged,,,,,,,,Vendor ALI,,,,,
ACV,94.57,94.22,97.37,97.38,98.59,96.91,89.31,94.38,94.12,95.09,102.93,96.16,100,95.02,85.14,101.47
AMN,84.78,84.47,86.7,,,,,,116.78,108.83,111.46,,,,,
PRT,92.39,99.3,92.22,,,,,,101.3,106.95,97.43,,,,,
FMP,85.56,95.37,81.35,,,,,,89.2,90.37,86.22,,,,,
FLR,95.25,95.08,99.16,,,,,,114.45,109.52,111.53,,,,,
GMC,95.97,105.07,98.49,,,,,,96.11,103.35,105.88,,,,,
LNT,100.55,111.81,108.22,,,,,,101.57,92.14,104.77,,,,,
LDC,95.53,95.28,93.65,,,,,,102.78,89.67,107.17,,,,,
NCD,93.39,104.56,93.43,,,,,,102.1,100.04,93.89,,,,,
SNX,97.24,109.22,98.87,,,,,,106.03,114.79,100.6,,,,,
VRD,76.23,61.32,68.17,,,,,,111.18,113.51,98.73,,,,,
VLX,68.11,45.06,53.33,,,,,,108.74,101.6,93.33,,,,,
